days,cases
1032,627079323
1033,627254770
1034,627462169
1035,627722472
1036,627947609
1037,628430412
1038,628687037
1039,629413954
1040,629607690
1041,629856091
1042,630046590
1043,630317554
1044,630859699
1045,631203716
1046,631903132
1047,632130036
1048,632409933
1049,632719600
1050,632993929
1051,633457855
1052,633842315
1053,634585160
1054,634835763
1055,635114054
1056,635468464
1057,635725737
1058,636231072
1059,636684847
1060,637562638
1061,637826511
1062,638132259
1063,638490520
1064,638837206
1065,639476814
1066,639812120
1067,640799651
1068,641101630
1069,641408838
1070,641796449
1071,642219323
1072,643052222
1073,643850415
1074,645414818
1075,646485784
1076,647714149
1077,649192820
1078,650756839
1079,653423911
1080,656120878
1081,660392329
1082,664757160
1083,670201306
1084,676538048
1085,683381224
1086,691234134
1087,697961895
1088,704628554
1089,709571414
1090,714438262
1091,719250740
1092,722981234
1093,726689833
1094,729473300
1095,732361254
1096,734198844
1097,735669159
1098,737302768
1099,738810809
1100,740661584
1101,741935333
1102,743318793
1103,744200367
1104,744799005
1105,745417472
1106,746057866
1107,747081133
1108,747576470
1109,748205699
1110,748575959
1111,748813803
1112,749166597
1113,749492321
1114,750075124
1115,750348901
1116,750720563
1117,750890627
1118,750998434
1119,751175887
1120,751367187
1121,751826508
1122,751989612
1123,752280065
1124,752415054
1125,752481352
1126,752657494
1127,752787545
1128,753220189
1129,753398536
1130,753665714
1131,753773272
1132,753856801
1133,753991160
1134,754125067
1135,754532624
1136,754657350
1137,754913074
1138,755003274
1139,755074977
1140,755210027
1141,755318733
1142,755676493
1143,755775787
1144,756058835
1145,756156972
1146,756222767
1147,756322205
1148,756419748
1149,756513673
1150,756866089
1151,757131727
1152,757255294
1153,757312595
1154,757411940
1155,757512219
1156,757614001
1157,757920407
1158,758160196
1159,758286687
1160,758344859
1161,758431515
1162,758514337
1163,758591551
1164,758840135
1165,759055031
1166,759214883
1167,759272201
1168,759355466
1169,759436217
1170,759504226
1171,759713167
1172,759934236
1173,760087805
1174,760141508
1175,760209260
1176,760274220
1177,760337060
1178,760562877
1179,760767345
1180,760862994
1181,760907785
1182,760970502
1183,761084783
1184,761134718
1185,761368402
1186,761566827
1187,761673299
1188,761708753
1189,761762948
1190,761817300
1191,761867016
1192,761915176
1193,762267838
1194,762361324
1195,762398364
1196,762450094
1197,762509020
1198,762565629
1199,762619215
1200,762962578
1201,763075475
1202,763120179
1203,763182882
1204,763245844
1205,763305871
1206,763363384
1207,763700104
1208,763812157
1209,763853838
1210,763914089
1211,763971437
1212,764028742
1213,764084728
1214,764384532
1215,764489962
1216,764528868
1217,764585301
1218,764646290
1219,764698537
1220,764739002
1221,764993381
1222,765140599
1223,765187354
1224,765229775
1225,765267628
1226,765307032
1227,765343300
1228,765583204
1229,765696228
1230,765729540
1231,765767764
1232,765802216
1233,765833172
1234,765862544
1235,766010666
1236,766109272
1237,766160754
1238,766195468
1239,766225615
1240,766254160
1241,766281404
1242,766398267
1243,766493856
1244,766532795
1245,766564488
1246,766598011
1247,766623999
1248,766636436
1249,766722768
1250,766796946
1251,766802118
1252,766834718
1253,766857231
1254,766882650
1255,766912239
1256,767008559
1257,767123503
1258,767131835
1259,767136476
1260,767140625
1261,767144507
1262,767151327
1263,767207902
1264,767368908
1265,767371589
1266,767375095
1267,767378190
1268,767382669
1269,767387117
1270,767443115
1271,767596851
1272,767599247
1273,767601769
1274,767604183
1275,767606772
1276,767610103
1277,767645863
1278,767804722
1279,767810748
1280,767812512
1281,767814284
1282,767816020
1283,767818686
1284,767848256
1285,768029043
1286,768030599
1287,768032552
1288,768034318
1289,768036089
1290,768038289
1291,768063337
1292,768297553
1293,768299067
1294,768301089
1295,768303016
1296,768304982
1297,768307531
1298,768336814
1299,768628526
1300,768633462
1301,768635736
1302,768637897
1303,768640089
1304,768642793
1305,768672699
1306,769009769
1307,769347502
1308,769350521
1309,769353387
1310,769356503
1311,769359965
1312,769372678
1313,769408583
1314,769475595
1315,769478849
1316,769481852
1317,769485137
1318,769488864
1319,769493477
1320,769729411
1321,769736990
1322,769740622
1323,769743529
1324,769747860
1325,769753013
1326,769759423
1327,770062336
1328,770069953
1329,770075162
1330,770079259
1331,770080513
1332,770081384
1333,770084949
1334,770084949
1335,770084949
1336,770084949
